id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
130,Il carrettiere della morte,Victor Sjöström,Szwecja,f,107,1921,t
131,Lo scoiattolo,Ernst Lubitsch,Niemcy,f,79,1921,f
132,Destino,Fritz Lang,Niemcy,f,97,1921,t
133,Il castello di Vogelod,F.W. Murnau,Niemcy,f,75,1921,f
134,Ombre ammonitrici,Arthur Robison,Niemcy,f,90,1923,t
135,Der var engang,Carl Theodor Dreyer,Dania,f,75,1922,t
136,The Three Must-Get-Theres,Max Linder,Stany Zjednoczone,f,58,1922,f
137,The Toll of the Sea,Chester M. Franklin,Stany Zjednoczone,f,54,1922,t
138,I pionieri,James Cruze,Stany Zjednoczone,f,98,1923,t
139,Haldane of the Secret Service,Harry Houdini,Stany Zjednoczone,f,84,1923,t
140,Il gobbo di Notre Dame,Wallace Worsley,Stany Zjednoczone,f,133,1923,t
141,Accidenti che ospitalità!,"John G. Blystone, Buster Keaton",Stany Zjednoczone,f,65,1923,t
142,Preferisco l'ascensore,"Fred C. Newmeyer, Sam Taylor",Stany Zjednoczone,f,74,1923,t
143,Souls for Sale,Rupert Hughes,Stany Zjednoczone,f,90,1923,t
144,I dieci comandamenti,Cecil B. DeMille,Stany Zjednoczone,f,136,1923,f
145,White Tiger,Tod Browning,Stany Zjednoczone,f,86,1923,t
146,Perché preoccuparsi?,"Fred C. Newmeyer, Sam Taylor",Stany Zjednoczone,f,63,1923,f
147,America,D.W. Griffith,Stany Zjednoczone,f,141,1924,t
148,Beau Brummel,Harry Beaumont,Stany Zjednoczone,f,135,1924,t
149,Black Oxen,Frank Lloyd,Stany Zjednoczone,f,80,1923,t
150,Dante's Inferno,Henry Otto,Stany Zjednoczone,f,60,1924,t
151,Dorothy Vernon of Haddon Hall,"Marshall Neilan, Mary Pickford",Stany Zjednoczone,f,135,1924,f
152,Quello che prende gli schiaffi,Victor Sjöström,Stany Zjednoczone,f,95,1924,t
153,Il cavallo d'acciaio,John Ford,Stany Zjednoczone,f,150,1924,f
154,Janice Meredith,E. Mason Hopper,Stany Zjednoczone,f,153,1924,f
155,Il navigatore,"Donald Crisp, Buster Keaton",Stany Zjednoczone,f,59,1924,f
156,I Nibelunghi: La vendetta di Crimilde,Fritz Lang,Niemcy,f,129,1924,t
157,I Nibelunghi: Sigfrido,Fritz Lang,Niemcy,f,143,1924,t
158,Futurismo,Marcel L'Herbier,Francja,f,135,1924,t
159,Peter Pan,Herbert Brenon,Stany Zjednoczone,f,105,1924,t
160,The Sea Hawk,Frank Lloyd,Stany Zjednoczone,f,123,1924,f
161,La palla n° 13,Buster Keaton,Stany Zjednoczone,f,45,1924,f
162,Il ladro di Bagdad,Raoul Walsh,Stany Zjednoczone,f,155,1924,t
163,La grande parata,"King Vidor, George W. Hill",Stany Zjednoczone,f,151,1925,t
164,Clash of the Wolves,Noel M. Smith,Stany Zjednoczone,f,74,1925,t
165,Aquila nera,Clarence Brown,Stany Zjednoczone,f,73,1925,t
166,Viva lo sport,"Fred C. Newmeyer, Sam Taylor",Stany Zjednoczone,f,77,1925,t
167,La febbre dell'oro,Charles Chaplin,Stany Zjednoczone,f,95,1925,t
168,Rapacità,Erich von Stroheim,Stany Zjednoczone,f,140,1924,f
169,Lazybones,Frank Borzage,Stany Zjednoczone,f,80,1925,t
170,Il piccolo colonnello,David Butler,Stany Zjednoczone,f,81,1935,t
171,Un mondo perduto,Harry O. Hoyt,Stany Zjednoczone,f,110,1925,t
172,The Monster,Roland West,Stany Zjednoczone,f,86,1925,t
173,Parisian Love,Louis J. Gasnier,Stany Zjednoczone,f,70,1925,t
174,Paths to Paradise,Clarence G. Badger,Stany Zjednoczone,f,78,1925,t
175,The Plastic Age,Wesley Ruggles,Stany Zjednoczone,f,73,1925,t
176,The Red Kimona,"Walter Lang, Dorothy Davenport",Stany Zjednoczone,f,77,1925,f
177,Riders of the Purple Sage,Lynn Reynolds,Stany Zjednoczone,f,56,1925,t
178,The Road to Yesterday,Cecil B. DeMille,Stany Zjednoczone,f,107,1925,t
179,Il trio infernale,Tod Browning,Stany Zjednoczone,f,86,1925,t
180,Il mago di Oz,Larry Semon,Stany Zjednoczone,f,81,1925,t
181,Wolfblood,"George Chesebro, Bruce Mitchell",Stany Zjednoczone,f,68,1925,t
182,Zander the Great,George W. Hill,Stany Zjednoczone,f,80,1925,t
183,Le avventure del principe Achmed,"Lotte Reiniger, Carl Koch",Niemcy,f,80,1926,f
184,Il viaggio immaginario,René Clair,Francja,f,80,1926,t
185,Se perdo la pazienza...,Buster Keaton,Stany Zjednoczone,f,77,1926,t
186,Beau Geste,Herbert Brenon,Stany Zjednoczone,f,101,1926,t
187,The Bells,James Young,Stany Zjednoczone,f,68,1926,t
188,The Better 'Ole,Charles Reisner,Stany Zjednoczone,f,95,1926,t
189,Il corvo,Tod Browning,Stany Zjednoczone,f,86,1926,f
190,Brown of Harvard,Jack Conway,Stany Zjednoczone,f,85,1926,f
191,It's the Old Army Game,A. Edward Sutherland,Stany Zjednoczone,f,70,1926,t
192,Il re degli straccioni,Sam Taylor,Stany Zjednoczone,f,58,1926,t
193,Hands Up!,Clarence G. Badger,Stany Zjednoczone,f,60,1926,t
194,Love 'Em and Leave 'Em,Frank Tuttle,Stany Zjednoczone,f,76,1926,t
195,The Magician,Rex Ingram,Stany Zjednoczone,f,83,1926,f
196,Il mostro del mare,Millard Webb,Stany Zjednoczone,f,136,1926,f
197,Il figlio dello sceicco,George Fitzmaurice,Stany Zjednoczone,f,68,1926,t
198,Di corsa dietro un cuore,Harry Edwards,Stany Zjednoczone,f,62,1926,t
199,L'allievo di West Point,Edward Sedgwick,Stany Zjednoczone,f,95,1927,t
200,Gloria,Raoul Walsh,Stany Zjednoczone,f,116,1926,t
201,Fiore del deserto,Henry King,Stany Zjednoczone,f,89,1926,t
202,Barbed Wire,"Rowland V. Lee, Mauritz Stiller",Stany Zjednoczone,f,67,1927,t
203,Il pensionante,Alfred Hitchcock,Wielka Brytania,f,68,1927,t
204,Nell Gwyn,Herbert Wilcox,Wielka Brytania,f,80,1926,t
205,Maciste all'inferno,Guido Brignone,Wlochy,f,95,1925,t
206,Faust,F.W. Murnau,Niemcy,f,107,1926,t
207,La mandragora,Henrik Galeen,Niemcy,f,108,1928,t
208,The Beloved Rogue,Alan Crosland,Stany Zjednoczone,f,99,1927,t
209,Il castello degli spettri,Paul Leni,Stany Zjednoczone,f,108,1927,f
210,Chicago,Frank Urson,Stany Zjednoczone,f,118,1927,t
211,Tuo per sempre,"James W. Horne, Buster Keaton",Stany Zjednoczone,f,66,1927,f
212,Come vinsi la guerra,"Clyde Bruckman, Buster Keaton",Stany Zjednoczone,f,67,1926,t
213,Il cantante di jazz,Alan Crosland,Stany Zjednoczone,f,88,1927,t
214,Il fratello minore,"Ted Wilde, Harold Lloyd",Stany Zjednoczone,f,82,1927,f
215,Il re dei re,Cecil B. DeMille,Stany Zjednoczone,f,160,1927,f
216,Il re del sottosuolo,Alan Crosland,Stany Zjednoczone,f,88,1927,t
217,Ferro e fuoco,Alfred Santell,Stany Zjednoczone,f,150,1927,f
218,Quality Street,Sidney Franklin,Stany Zjednoczone,f,115,1927,t
219,The Scar of Shame,Frank Peregini,Stany Zjednoczone,f,68,1927,t
220,Tell It to the Marines,George W. Hill,Stany Zjednoczone,f,103,1926,t
221,Notte d'Arabia,Lewis Milestone,Stany Zjednoczone,f,92,1927,t
222,Le notti di Chicago,"Josef von Sternberg, Arthur Rosson",Stany Zjednoczone,f,80,1927,f
223,Lo sconosciuto,Tod Browning,Stany Zjednoczone,f,63,1927,t
224,Ali,"William A. Wellman, Harry d'Abbadie d'Arrast",Stany Zjednoczone,f,144,1927,f
225,Winners of the Wilderness,W.S. Van Dyke,Stany Zjednoczone,f,68,1927,t
226,Il declino,Alfred Hitchcock,Wielka Brytania,f,80,1927,t
227,Vinci per me!,Alfred Hitchcock,Wielka Brytania,f,116,1927,t
228,Nomis,David Raymond,Kanada,f,98,2018,t
229,Le joueur d'échecs,Raymond Bernard,Francja,f,135,1927,t
230,Napoleone,Abel Gance,Francja,f,240,1927,t
231,Il cameraman,"Edward Sedgwick, Buster Keaton",Stany Zjednoczone,f,76,1928,t
232,I dannati dell'oceano,Josef von Sternberg,Stany Zjednoczone,f,76,1928,t
233,The Four Feathers,"Merian C. Cooper, Lothar Mendes",Stany Zjednoczone,f,81,1929,t
234,Capitan Barbablù,Howard Hawks,Stany Zjednoczone,f,78,1928,t
