id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
982,The One Man Jury,Charles Martin,Stany Zjednoczone,f,01:38:00,1978,t
983,La finestra sul cielo 2,Larry Peerce,Stany Zjednoczone,f,01:40:00,1978,t
984,Petey Wheatstraw,Cliff Roquemore,Stany Zjednoczone,f,01:34:00,1977,f
985,Plague,Ed Hunt,Kanada,f,01:28:00,1979,t
986,Le pion,Christian Gion,Francja,f,01:28:00,1978,f
987,Olsen-banden går i krig,Erik Balling,Dania,f,01:47:00,1978,f
988,La 36a camera dello Shaolin,Chia-Liang Liu,Hong Kong,f,01:56:00,1978,t
989,Return to Boggy Creek,Tom Moore,Stany Zjednoczone,f,01:25:00,1977,t
990,Un gioco da duri,Michael Ritchie,Stany Zjednoczone,f,01:48:00,1977,f
991,Chi ha ucciso suo marito?,Lamont Johnson,Stany Zjednoczone,f,01:37:00,1978,t
992,La settima donna,Francesco Prosperi,Wlochy,f,01:26:00,1978,f
993,La sorella di Ursula,Enzo Milioni,Wlochy,f,01:36:00,1978,t
994,Stingray,Richard Taylor,Stany Zjednoczone,f,01:40:00,1978,t
995,Guerrieri dell'inferno,Karel Reisz,Stany Zjednoczone,f,02:06:00,1978,t
996,I'm magic,Sidney Lumet,Stany Zjednoczone,f,02:14:00,1978,t
997,Sbirri bastardi,Tom Clegg,Wielka Brytania,f,01:44:00,1978,t
998,I 39 scalini,Don Sharp,Wielka Brytania,f,01:42:00,1978,t
999,La collina dei conigli,"Martin Rosen, John Hubley",Wielka Brytania,f,01:31:00,1978,t
1000,Suor Omicidi,Giulio Berruti,Wlochy,f,01:28:00,1979,f
1001,Zucchero,Jacques Rouffio,Francja,f,01:44:00,1978,t
1002,Apri bene le orecchie,Hugo Santiago,Francja,f,02:04:00,1978,f
1003,Tobi,Antonio Mercero,Hiszpania,f,01:30:00,1978,t
1004,Il lago dei cigni,Kimio Yabuki,Japonia,f,01:15:00,1981,f
1005,Uchu kara no messeji,Kinji Fukasaku,Japonia,f,01:45:00,1978,t
1006,...e giustizia per tutti,Norman Jewison,Stany Zjednoczone,f,01:59:00,1979,t
1007,Le olimpiadi della giungla,Steven Lisberger,Stany Zjednoczone,f,01:18:00,1980,t
1008,Terrore in cima alle scale,"George Edwards, Gary Graver",Stany Zjednoczone,f,01:41:00,1980,t
1009,All American Boys,Peter Yates,Stany Zjednoczone,f,01:41:00,1979,t
1010,C.H.O.M.P.S. Supercane,Don Chaffey,Stany Zjednoczone,f,01:29:00,1979,t
1011,Il segreto di Agatha Christie,Michael Apted,Wielka Brytania,f,01:45:00,1979,t
1012,The Bitch,Gerry O'Hara,Wielka Brytania,f,01:29:00,1979,t
1013,Il cineamatore,Krzysztof Kieslowski,Polska,f,01:52:00,1979,t
1015,Capitolo secondo,Robert Moore,Stany Zjednoczone,f,02:04:00,1979,t
1016,The Great American Girl Robbery,Jeff Werner,Stany Zjednoczone,f,01:27:00,1979,t
1017,Cuba,Richard Lester,Stany Zjednoczone,f,02:02:00,1979,t
1018,The Dark,"John 'Bud' Cardos, Tobe Hooper",Stany Zjednoczone,f,01:32:00,1979,t
1019,Fuga da Alcatraz,Don Siegel,Stany Zjednoczone,f,01:52:00,1979,t
1020,The Evictors,Charles B. Pierce,Stany Zjednoczone,f,01:32:00,1979,f
1021,Il sostituto,Jean-Jacques Annaud,Francja,f,01:29:00,1979,t
1022,Fung gip,Ann Hui,Hong Kong,f,01:25:00,1979,t
1023,La polvere degli angeli,Paul Aaron,Stany Zjednoczone,f,01:30:00,1979,t
